vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
工程師,鴻海精密工業股份有限公司,2020.11.12,全職,臺北,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,0,做研發，要等電腦，主...,多練點技術到更好的地...
PM,鴻海精密工業股份有限公司,2020.11.10,全職,新北,,,,,,,平常心,偶爾加班,8 hr,2,0,很看單位的地方好，容...,學的到東西的環境，整...
專案工程師,鴻海精密工業股份有限公司,2020.11.08,全職,新北,,,,,,,平常心,很少加班,9 hr,10,0,專案量不多，很多時間...,福利很好，分紅都要看...
工程師,鴻海精密工業股份有限公司,2020.11.06,全職,新北,,,,,,,想換工作了,常常加班,10 hr,1,0,"到對岸外派, 住龍華...",每天6點55趕交通車...
工程師,鴻海精密工業股份有限公司,2020.11.06,全職,臺北,,,,,,,還算愉快,準時上下班,8 hr,2,0,工作穩定，不需要額外...,建議多益備足650以...
IE工程師,鴻海精密工業股份有限公司,2020.11.05,全職,新北,,,,,,,有苦說不出,賣肝拼經濟,12 hr,4,0,長駐中國深圳，因做I...,工作壓力大、部門文化...
工程師,鴻海精密工業股份有限公司,2020.11.03,全職,新竹,,,,,,,平常心,常常加班,8 hr,2,0,蠻操的。加班很頻繁，...,可以累積經驗，畢竟大...
新幹班,鴻海精密工業股份有限公司,2020.11.02,全職,臺北,,,,,,,想換工作了,賣肝拼經濟,12 hr,1,0,考進來要很知道自己的...,可以快速存一桶金 但...
副課長,鴻海精密工業股份有限公司,2020.10.31,全職,新北,,,,,,,平常心,常常加班,13 hr,10,0,獎金不錯，如果有年資...,基本上需要待的久而且...
RD,鴻海精密工業股份有限公司,2020.10.30,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,2,0,電視代工部門 協助客...,適合新人進來看看有沒...
工程師,鴻海精密工業股份有限公司,2020.10.26,全職,新北,,,,,,,平常心,很少加班,8 hr,2,0,公司福利超好，我是派...,很看部門，我算待在很...
工程師,鴻海精密工業股份有限公司,2020.10.23,全職,臺北,,,,,,,平常心,偶爾加班,10 hr,1,0,主要是寫自動化設備程...,沒有網路上說的那麼誇...
雲端工程師,鴻海精密工業股份有限公司,2020.10.22,全職,新北,,,,,,,平常心,偶爾加班,10 hr,3,0,換董事長 開始要扶植...,目前底薪都很高 只要...
作業員,鴻海精密工業股份有限公司,2020.10.22,全職,新北,,,,,,,平常心,準時上下班,8 hr,1,0,"每天八點上班,有交通...","佛心公司, 老闆超好..."
BIOS工程師,鴻海精密工業股份有限公司,2020.10.18,全職,新北,,,,,,,平常心,準時上下班,8 hr,6,0,大部分時間主要都是複...,"入門門檻相對較高, ..."
資深工程師,鴻海精密工業股份有限公司,2020.10.15,全職,新北,,,,,,,平常心,常常加班,10 hr,3,0,軟體研發/三節固定/...,"會加班, 要做10年..."
工程師,鴻海精密工業股份有限公司,2020.10.15,全職,新北,,,,,,,平常心,偶爾加班,8 hr,1,0,每日早上八點上班到下...,如果本身就是在大公司...
研發工程師,鴻海精密工業股份有限公司,2020.10.10,全職,新北,,,,,,,平常心,很少加班,9 hr,3,0,"電子產品研發
多種特...",不同次集團，不同部門...
軟體研發工程師,鴻海精密工業股份有限公司,2020.10.09,全職,新竹,,,,,,,有苦說不出,常常加班,11 hr,14,0,要有加班的心裡準備，...,四月發的績效獎金大概...
專員,鴻海精密工業股份有限公司,2020.10.08,全職,新北,,,,,,,平常心,準時上下班,8 hr,3,0,各事業群大不同 屎單...,看事業群 看單位 看...
工程師,鴻海精密工業股份有限公司,2020.10.08,全職,新北,,,,,,,平常心,準時上下班,9 hr,1,0,Aoi瑕疵檢測，製作...,公司文化重，新人沒有...
行銷經理,鴻海精密工業股份有限公司,2020.10.06,全職,新北,,,,,,,平常心,偶爾加班,9 hr,10,0,辦公室職場政治很嚴重...,有耐心的話可以養老，...
機構工程師,鴻海精密工業股份有限公司,2020.09.29,全職,桃園,,,,,,,有苦說不出,常常加班,12 hr,1,0,"氣氛不好
很累
覺得...","新手可以去練練工
但..."
工程師,鴻海精密工業股份有限公司,2020.09.28,全職,新北,,,,,,,平常心,常常加班,10 hr,1,0,"連接器設計, 要常常...",建議新鮮人可以來試試...
採購工程師,鴻海精密工業股份有限公司,2020.09.28,全職,臺北,,,,,,,平常心,很少加班,11 hr,5,0,雖然工作很累但學到的...,很大的平台可以發會自...
rd,鴻海精密工業股份有限公司,2020.09.27,全職,臺北,,,,,,,平常心,偶爾加班,10 hr,1,0,蠻常需要加班和出差，...,面試會考白板題跟筆試...
SI,鴻海精密工業股份有限公司,2020.09.25,全職,新北,,,,,,,平常心,偶爾加班,9 hr,1,0,是一個氣氛還不錯的部...,可以當作練功的好跳板...
高階主管秘書,鴻海精密工業股份有限公司,2020.09.25,全職,新北,,,,,,,想換工作了,賣肝拼經濟,12 hr,7,0,上班時間是早上七點至...,鴻海的工作經歷很好用...
PM,鴻海精密工業股份有限公司,2020.09.25,全職,臺北,,,,,,,還算愉快,賣肝拼經濟,13 hr,2,0,工作辛苦，賣時間，用...,真的要很花時間在工作...
HR,鴻海精密工業股份有限公司,2020.09.25,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,5,0,工時基本上就是跟著老...,很建議吃苦耐勞的單身...
BMC軟韌,鴻海精密工業股份有限公司,2020.09.24,全職,高雄,,,,,,,平常心,偶爾加班,10 hr,1,0,加班費有時不能報，但...,軟韌體的考古題要刷然...
PM,鴻海精密工業股份有限公司,2020.09.24,全職,新北,,,,,,,有苦說不出,常常加班,10 hr,1,0,大公司姿態極高，內部...,需要有心把自己調整變...
硬體工程師,鴻海精密工業股份有限公司,2020.09.23,全職,新北,,,,,,,想換工作了,賣肝拼經濟,11 hr,6,0,很操 很累 除非你很...,沒有 大公司規矩多 ...
EPM,鴻海精密工業股份有限公司,2020.09.23,全職,新北,,,,,,,有苦說不出,賣肝拼經濟,15 hr,2,0,水果EPM 派駐深圳...,賣肝，但是做得好知名...
BIOS工程師,鴻海精密工業股份有限公司,2020.09.22,全職,新北,,,,,,,有苦說不出,偶爾加班,10 hr,1,0,很標準的福利跟薪資結...,感覺得出來需要年資才...
資深工程師,鴻海精密工業股份有限公司,2020.09.21,全職,新北,,,,,,,想換工作了,常常加班,11 hr,1,0,工作內容很雜，網通產...,千萬不要覺得是rd的...
經理,鴻海精密工業股份有限公司,2020.09.18,全職,臺北,,,,,,,有苦說不出,常常加班,13 hr,6,0,天天開會，用原始方法...,公司是製造業，以成本...
業務助理,鴻海精密工業股份有限公司,2020.09.15,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,1,0,工作內容主要跟日本夏...,除非可以接受較長工時...
工程師,鴻海精密工業股份有限公司,2020.09.15,全職,新北,,,,,,,平常心,偶爾加班,10 hr,8,0,1. 需用英文與客戶...,"1. 充實英文能力
..."
技術員,鴻海精密工業股份有限公司,2020.09.15,全職,彰化,,,,,,,平常心,偶爾加班,10 hr,1,0,人多嘴雜，之前的站別...,進來時真的站別看運氣...
NPI PM,鴻海精密工業股份有限公司,2020.09.08,全職,臺北,,,,,,,有苦說不出,賣肝拼經濟,14 hr,3,0,來自於客人的壓力極大...,"如果缺錢，就來吧
就..."
工程師,鴻海精密工業股份有限公司,2020.09.04,全職,臺北,,,,,,,想換工作了,賣肝拼經濟,10 hr,1,0,10-12HR每日 ...,缺錢再來 這邊軍事化...
工程師,鴻海精密工業股份有限公司,2020.09.04,全職,新北,,,,,,,還算愉快,偶爾加班,8 hr,1,0,公司外觀看起來舊舊的...,開發些公司內部的系統...
硬體研發工程師,鴻海精密工業股份有限公司,2020.09.04,全職,新北,,,,,,,想換工作了,賣肝拼經濟,12 hr,3,0,1.出差頻繁，即使是...,1.如果所在單位有賺...
資深工程師,鴻海精密工業股份有限公司,2020.09.03,全職,新北,,,,,,,有苦說不出,常常加班,10 hr,4,0,"事情多 賺不多, 裡...",工作辛苦事情雜 部門...
維運工程師,鴻海精密工業股份有限公司,2020.09.02,全職,新北,,,,,,,想換工作了,偶爾加班,10 hr,7,0,福利還可以，沒有三節...,建議有A次集團職缺再...
PM,鴻海精密工業股份有限公司,2020.09.02,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,1,0,"傳統公司風氣, 較為...",有意願要進科技業的新...
工程師,鴻海精密工業股份有限公司,2020.08.31,全職,臺北,,,,,,,還算愉快,偶爾加班,11 hr,4,0,薪水尚可， 但內部氣...,新鮮人可以來試試 接...
Team leader,鴻海精密工業股份有限公司,2020.08.31,全職,新竹,,,,,,,平常心,偶爾加班,9 hr,16,0,主要是提供集團內外部...,就是鴻海集團對於晶片...
軟體工程師,鴻海精密工業股份有限公司,2020.08.30,全職,桃園,,,,,,,有苦說不出,偶爾加班,9 hr,2,0,對電視進行軟體驗證，...,現在想想其實是很適合...
工程師,鴻海精密工業股份有限公司,2020.08.30,全職,新北,,,,,,,平常心,偶爾加班,8 hr,5,0,工作內容主要代工國外...,升遷制度不透明，建議...
測試工程師,鴻海精密工業股份有限公司,2020.08.30,全職,新北,,,,,,,平常心,很少加班,9 hr,1,0,還可以滿閒的 有點免...,免洗 看看世面就差不...
顧問,鴻海精密工業股份有限公司,2020.08.28,全職,臺北,,,,,,,平常心,偶爾加班,4 hr,1,0,約聘主要解決特定技術...,約聘合約很公道不會有...
軟韌體工程師,鴻海精密工業股份有限公司,2020.08.26,全職,新北,,,,,,,有苦說不出,偶爾加班,10 hr,1,0,新人主要就是做主管交...,要注意是不是新幹班，...
中央人資專員,鴻海精密工業股份有限公司,2020.08.26,全職,新北,,,,,,,想換工作了,賣肝拼經濟,10 hr,1,0,就像在監獄裡，連牆壁...,薪資並不高，若其他事...
工程師,鴻海精密工業股份有限公司,2020.08.25,全職,新北,,,,,,,有苦說不出,偶爾加班,9 hr,4,0,各種幫客戶擦屁股，一...,一定要懂得看風向，抱...
工程師,鴻海精密工業股份有限公司,2020.08.23,全職,臺北,,,,,,,想換工作了,賣肝拼經濟,10 hr,2,0,"練功好地方, 歡迎想...","盡量保持平常心, 不..."
工程師,鴻海精密工業股份有限公司,2020.08.22,全職,新竹,,,,,,,平常心,偶爾加班,9 hr,3,0,幫客戶代工網通產品，...,想飛來飛去的可以去，...
FW BMC,鴻海精密工業股份有限公司,2020.08.21,全職,高雄,,,,,,,想換工作了,偶爾加班,9 hr,1,0,有顆負責監控serv...,南部的話薪水算是不錯...
工程師,鴻海精密工業股份有限公司,2020.08.20,全職,新北,,,,,,,非常開心,很少加班,8 hr,9,0,"符合勞基法基本福利
...","工作前三年薪水偏低
..."
韌體工程師,鴻海精密工業股份有限公司,2020.08.19,全職,新北,,,,,,,想換工作了,偶爾加班,11 hr,3,0,"工作環境簡陋
加薪制...","這間公司很看事業群
..."
硬體工程師,鴻海精密工業股份有限公司,2020.08.19,全職,新北,,,,,,,還算愉快,常常加班,8 hr,3,0,適合養老， 近幾年無...,適合新人進來練功，了...
技術員,鴻海精密工業股份有限公司,2020.08.16,全職,苗栗,,,,,,,還算愉快,偶爾加班,9 hr,5,0,年終固定2個月，年末...,友善的環境氛圍，工作...
工程師,鴻海精密工業股份有限公司,2020.08.13,全職,臺北,,,,,,,平常心,常常加班,12 hr,1,0,"1.軟體工程師
2....","1.需海外派駐
2...."
報價工程師,鴻海精密工業股份有限公司,2020.08.12,全職,臺北,,,,,,,平常心,賣肝拼經濟,14 hr,2,0,派駐深圳/鄭州，客戶...,要做好心理準備，公司...
資工,鴻海精密工業股份有限公司,2020.08.09,全職,新北,,,,,,,平常心,很少加班,10 hr,8,0,TPM NPI 顧產...,"想出頭天就要做PM,..."
工程師,鴻海精密工業股份有限公司,2020.08.06,全職,新北,,,,,,,有苦說不出,常常加班,10 hr,1,0,公司情況比較混亂，專...,如果願意長期待大陸或...
課長,鴻海精密工業股份有限公司,2020.08.06,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,8,0,苦不苦還是要看單位，...,願意去大陸或海外長住...
工程師,鴻海精密工業股份有限公司,2020.08.06,全職,新北,,,,,,,想換工作了,偶爾加班,10 hr,3,0,水果筆電，產線在大陸...,公司山頭林立，空降的...
工程師,鴻海精密工業股份有限公司,2020.08.05,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,3,0,研發替代役軟體工程師...,中山二廠超級破，可先...
資深工程師,鴻海精密工業股份有限公司,2020.08.02,全職,新北,,,,,,,有苦說不出,常常加班,13 hr,3,0,權責不平衡，勞務分配...,先打聽清楚任用單位，...
工程師,鴻海精密工業股份有限公司,2020.07.31,全職,桃園,,,,,,,平常心,賣肝拼經濟,8 hr,7,0,個人的意見，公司所使...,老闆對於員工的福利很...
mp,鴻海精密工業股份有限公司,2020.07.30,全職,臺北,,,,,,,平常心,偶爾加班,8 hr,5,0,上班的時候像打仗，要...,很適合新鮮人打基礎的...
資深工程師,鴻海精密工業股份有限公司,2020.07.27,全職,新北,,,,,,,平常心,偶爾加班,10 hr,9,0,時常面對客戶，白天八...,鴻海大部分還是資深員...
專案工程師,鴻海精密工業股份有限公司,2020.07.26,全職,新北,,,,,,,想換工作了,偶爾加班,2 hr,10,0,一堆無用口號，cos...,工廠為主，管理方式傳...
工程師,鴻海精密工業股份有限公司,2020.07.25,全職,新北,,,,,,,有苦說不出,常常加班,10 hr,2,0,分紅還可以，但真的很...,這是一個適合累積功力...
工程師,鴻海精密工業股份有限公司,2020.07.24,全職,新北,,,,,,,還算愉快,準時上下班,9 hr,4,0,公司很大，部門很多，...,在台灣可能不會比在大...
QA,鴻海精密工業股份有限公司,2020.07.22,全職,新竹,,,,,,,平常心,偶爾加班,10 hr,2,0,符合最低勞基法需求，...,公司評比、升遷制度奇...
專案工程師,鴻海精密工業股份有限公司,2020.07.21,全職,新北,,,,,,,非常開心,準時上下班,8 hr,12,0,難升遷，步調很慢，有...,新人還是別來，感覺學...
PM,鴻海精密工業股份有限公司,2020.07.21,全職,新竹,,,,,,,平常心,偶爾加班,9 hr,5,0,工作不算辛苦 但辦公...,若是較希望野心和企圖...
課長,鴻海精密工業股份有限公司,2020.07.20,全職,臺北,,,,,,,非常開心,常常加班,10 hr,9,0,升職不加薪，加薪扣獎...,務必爭取在單位內的能...
EPM,鴻海精密工業股份有限公司,2020.07.18,全職,新北,,,,,,,有苦說不出,常常加班,10 hr,3,0,長期派駐缺/加班是常...,駐廠的工作是很好的歷...
韌體工程師,鴻海精密工業股份有限公司,2020.07.16,全職,新竹,,,,,,,平常心,偶爾加班,12 hr,2,0,韌體開發/韌體測試/...,公司大制度很嚴謹很拘...
品保工程師,鴻海精密工業股份有限公司,2020.07.15,全職,苗栗,,,,,,,還算愉快,偶爾加班,9 hr,3,0,車用品保只生產一個產...,制度挺怪的，幾乎無制...
需求管理專員,鴻海精密工業股份有限公司,2020.07.14,全職,臺北,,,,,,,有苦說不出,常常加班,11 hr,1,0,"管理客戶需求排程
追...","同事好相處
需要出差..."
工程師,鴻海精密工業股份有限公司,2020.07.11,全職,臺北,,,,,,,平常心,常常加班,10 hr,1,0,常態性加班 就算沒有...,底新高 但年終不多 ...
Dba,鴻海精密工業股份有限公司,2020.07.10,全職,新北,,,,,,,有苦說不出,常常加班,9 hr,3,0,很看單位，單位不會可...,適合社會新鮮人當跳板...
資料庫管理工程師,鴻海精密工業股份有限公司,2020.07.08,全職,新北,,,,,,,有苦說不出,偶爾加班,9 hr,4,0,很看單位，不好的單位...,當跳板可以，畢竟大公...
工程師,鴻海精密工業股份有限公司,2020.07.07,全職,新北,,,,,,,平常心,常常加班,10 hr,3,0,"半導體測試與開發
有...","老人很多
年輕人來練..."
人資實習生,鴻海精密工業股份有限公司,2020.07.03,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,1,0,在廠區的生活環境是真...,要仔細考慮一下公司文...
管理師,鴻海精密工業股份有限公司,2020.06.30,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,5,0,鴻海體系基本看事業群...,完全看事業群，面板事...
EPM,鴻海精密工業股份有限公司,2020.06.30,全職,新北,,,,,,,非常開心,常常加班,10 hr,2,0,身為EPM就是要處理...,要去的人真的要有外派...
工程師,鴻海精密工業股份有限公司,2020.06.27,全職,新北,,,,,,,還算愉快,準時上下班,8 hr,8,0,一般系統廠會做的事情...,建議轉職過來談好就不...
RF工程師,鴻海精密工業股份有限公司,2020.06.24,全職,新竹,,,,,,,平常心,偶爾加班,10 hr,1,0,公司福利差，要完整的...,如果有更好的代工廠就...
軟韌體工程師,鴻海精密工業股份有限公司,2020.06.24,全職,新北,,,,,,,平常心,偶爾加班,8 hr,2,0,公司年終抽獎很大方，...,多參與公司的課程，對...
資深工程師,鴻海精密工業股份有限公司,2020.06.23,全職,新北,,,,,,,有苦說不出,賣肝拼經濟,12 hr,10,0,有一些工作項目需要花...,想賺錢不怕累不怕操可...
工程師,鴻海精密工業股份有限公司,2020.06.18,全職,新北,,,,,,,平常心,偶爾加班,10 hr,4,0,18個月 但要待對部...,還可以 注意自己要主...
作業員,鴻海精密工業股份有限公司,2020.06.17,全職,新北,,,,,,,想換工作了,偶爾加班,8 hr,1,0,維修被退貨的電子產品...,去7-11、跑跑 F...
工程師,鴻海精密工業股份有限公司,2020.06.14,全職,臺北,,,,,,,平常心,常常加班,11 hr,2,0,公司名氣大  福利也...,覺得有點年資從外面跳...
資深工程師,鴻海精密工業股份有限公司,2020.06.13,全職,新竹,,,,,,,平常心,常常加班,10 hr,7,0,為新技術研發單位，需...,正規大公司，雖制度多...
工程師,鴻海精密工業股份有限公司,2020.06.11,全職,新北,,,,,,,想換工作了,準時上下班,9 hr,1,0,薪水在業界算是一般 ...,"鴻海很大 
不同部門..."
研發工程師,鴻海精密工業股份有限公司,2020.06.10,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,1,0,在大陸出差，非常辛苦...,不太建議加入這樣的公...
工程師,鴻海精密工業股份有限公司,2020.06.07,全職,新北,,,,,,,平常心,偶爾加班,10 hr,8,0,不錯的工作，公司福利...,建議要來的人可以多培...
工程師,鴻海精密工業股份有限公司,2020.06.07,全職,新北,,,,,,,平常心,偶爾加班,8 hr,1,0,上班的人老人蠻多，做...,建議新鮮人不要選這家...
專員,鴻海精密工業股份有限公司,2020.06.04,全職,新北,,,,,,,平常心,偶爾加班,9 hr,4,0,鴻海內部系統跟郵件嘆...,分工很細，所以大部分...
硬體研發工程師,鴻海精密工業股份有限公司,2020.06.02,全職,新北,,,,,,,想換工作了,常常加班,12 hr,2,0,外派津貼一天300H...,這是駐深圳iphon...
工程師,鴻海精密工業股份有限公司,2020.06.02,全職,新北,,,,,,,平常心,偶爾加班,12 hr,2,0,常態加班，公司福利佳...,可以練功的地方，多加...
招募專員,鴻海精密工業股份有限公司,2020.06.02,全職,新北,,,,,,,有苦說不出,賣肝拼經濟,10 hr,1,0,不是在做title掛...,可以在前面幾年存錢，...
工程師,鴻海精密工業股份有限公司,2020.06.01,全職,新北,,,,,,,平常心,偶爾加班,9 hr,1,0,網通cnsbg比較穩...,鴻海就這樣，工廠思維...
專案經理,鴻海精密工業股份有限公司,2020.06.01,全職,新竹,,,,,,,想換工作了,常常加班,10 hr,16,0,"正向表列
1. 薪資...",如果個性上適合fol...
師四,鴻海精密工業股份有限公司,2020.05.31,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,0,大公司的名號，但是爛...,沒有明確調薪機制和升...
研發工程師,鴻海精密工業股份有限公司,2020.05.29,全職,新北,,,,,,,平常心,偶爾加班,8 hr,1,0,不會太硬或加班，責任...,一開始給的薪水對社會...
工程師,鴻海精密工業股份有限公司,2020.05.28,全職,新竹,,,,,,,有苦說不出,常常加班,14 hr,10,0,同事大部分不錯，老闆...,"要進對部門, 有出差..."
工程師,鴻海精密工業股份有限公司,2020.05.28,全職,新北,,,,,,,還算愉快,常常加班,10 hr,5,0,"1.沖壓模具設計,可...",1.進對部門非常重要...
機構工程師,鴻海精密工業股份有限公司,2020.05.26,全職,新北,,,,,,,平常心,偶爾加班,9 hr,4,0,公司健檢福利不錯，很...,人治嚴重，誇部門競爭...
人事,鴻海精密工業股份有限公司,2020.05.26,全職,臺北,,,,,,,平常心,偶爾加班,8 hr,1,0,福利佳 同事多 年齡...,對於洗經歷來說是一間...
塑膠射出技術員,鴻海精密工業股份有限公司,2020.05.25,全職,新北,,,,,,,非常開心,準時上下班,10 hr,1,0,工作內容 塑膠射出機...,基本上裡面學的還滿有...
資深工程師,鴻海精密工業股份有限公司,2020.05.22,全職,新北,,,,,,,平常心,偶爾加班,12 hr,6,0,"以前有股票,現在沒股...","可以去練功,但要想加..."
工程師,鴻海精密工業股份有限公司,2020.05.19,全職,新北,,,,,,,還算愉快,很少加班,8 hr,1,0,"搬機台,須學會lin...",面試的流程基本上就先...
工程師,鴻海精密工業股份有限公司,2020.05.16,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,1,0,"軍事化管理
週六要上...","比上不足 比下有餘
..."
研替工程師,鴻海精密工業股份有限公司,2020.05.14,全職,新北,,,,,,,平常心,偶爾加班,8 hr,1,0,軍事作風，屬新產品事...,認真要學東西還不錯，...
資深工程師,鴻海精密工業股份有限公司,2020.05.08,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,10,0,就在電腦前做做報告，...,缺錢就來吧，但要苦前...
機構工程師,鴻海精密工業股份有限公司,2020.05.03,全職,新北,,,,,,,非常開心,很少加班,9 hr,3,0,還不錯 老闆好 就會...,內部系統臨亂，沒有中...
經管專員,鴻海精密工業股份有限公司,2020.05.01,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,4,0,需要無預期加班應對主...,慎選次集團以及了解主...
工程師,鴻海精密工業股份有限公司,2020.04.30,全職,新竹,,,,,,,平常心,很少加班,8 hr,3,0,工作大概需要30%功...,要分紅，請去賺錢的B...
工程師,鴻海精密工業股份有限公司,2020.04.29,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,3,0,跟想像中的大公司差不...,工作靠自己還是最實在...
高級工程師,鴻海精密工業股份有限公司,2020.04.29,全職,新北,,,,,,,平常心,常常加班,12 hr,3,0,主要跟APPLE溝通...,專案期間需要忍受高壓...
應體研發工程師,鴻海精密工業股份有限公司,2020.04.28,全職,新竹,,,,,,,有苦說不出,常常加班,11 hr,1,0,新幹訓中國一個月，但...,月薪算系統廠前段班，...
Ui designer,鴻海精密工業股份有限公司,2020.04.24,全職,臺北,,,,,,,非常開心,常常加班,18 hr,1,0,"待越久越多錢
F次集...","主管比較兇
各種不合..."
工程師,鴻海精密工業股份有限公司,2020.04.23,全職,新北,,,,,,,有苦說不出,偶爾加班,9 hr,4,0,"在制度之下還可以
只...",建議可上網查詢事業單...
工程師,鴻海精密工業股份有限公司,2020.04.22,全職,臺北,,,,,,,平常心,常常加班,10 hr,1,0,本身是派駐中國工廠的...,以同類型產業來說派駐...
工程師,鴻海精密工業股份有限公司,2020.04.16,全職,新竹,,,,,,,平常心,偶爾加班,8 hr,1,0,工作時間長，責任制，...,新人可以練功，工時偏...
工程師,鴻海精密工業股份有限公司,2020.04.16,全職,高雄,,,,,,,平常心,偶爾加班,9 hr,6,0,工作內容看單位，有時...,以高雄來說福利還可以...
軟體研發工程師,鴻海精密工業股份有限公司,2020.04.07,全職,臺北,,,,,,,平常心,偶爾加班,10 hr,1,0,熟讀3GPP相關文件...,我覺得最好是有讀過s...
資深工程師,鴻海精密工業股份有限公司,2020.04.06,全職,新北,,,,,,,平常心,常常加班,10 hr,6,0,主要為規劃設計廠部的...,增強自我的抗壓、自學...
工程師,鴻海精密工業股份有限公司,2020.04.06,全職,新北,,,,,,,平常心,偶爾加班,9 hr,2,0,標準台式風格管理，需...,熟悉產業運作很好的機...
pm,鴻海精密工業股份有限公司,2020.04.05,全職,新竹,,,,,,,想換工作了,賣肝拼經濟,12 hr,2,0,實際工作內容與面試不...,"如果想賺錢可以嘗試
..."
機構工程師,鴻海精密工業股份有限公司,2020.04.05,全職,新竹,,,,,,,想換工作了,常常加班,10 hr,1,0,"新部門所以事情很雜
...","每個事業群差很多
選..."
軟體工程師,鴻海精密工業股份有限公司,2020.04.02,全職,新竹,,,,,,,平常心,偶爾加班,9 hr,3,0,是在新竹的網通事業群...,每天中午餐飯補助50...
DQE工程師,鴻海精密工業股份有限公司,2020.03.27,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,3,0,氣氛平和，人都好相處...,進來待個三年，可學到...
工程師,鴻海精密工業股份有限公司,2020.03.25,全職,新北,,,,,,,還算愉快,偶爾加班,9 hr,1,0,不錯，主管人不錯，同...,每個部門風氣不同，網...
機構工程師,鴻海精密工業股份有限公司,2020.03.25,全職,新北,,,,,,,平常心,常常加班,10 hr,2,0,"-深圳外派人員
-蘋...","-願意派駐
-有基本..."
工程師,鴻海精密工業股份有限公司,2020.03.22,全職,新北,,,,,,,平常心,偶爾加班,8 hr,1,0,環境不優，但部門產品...,會抱大腿主管，跟對上...
專案工程師,鴻海精密工業股份有限公司,2020.03.20,全職,新北,,,,,,,平常心,常常加班,10 hr,2,0,與客戶溝通協調內部工...,"需外派中國
年薪不含..."
軟體工程師,鴻海精密工業股份有限公司,2020.03.16,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,3,0,"要寫 code, 做...",紅人才有很多的股票跟...
軟體工程師,鴻海精密工業股份有限公司,2020.03.16,全職,桃園,,,,,,,還算愉快,偶爾加班,9 hr,2,0,智慧電視軟體開發/x...,算是能練功的地方，需...
工程師,鴻海精密工業股份有限公司,2020.03.12,全職,新竹,,,,,,,平常心,常常加班,12 hr,1,0,"工作內容:打雜
工時...",建議有年資後的來應徵...
UI/UX設計師,鴻海精密工業股份有限公司,2020.03.11,全職,新北,,,,,,,平常心,偶爾加班,10 hr,2,0,工作上蠻有趣可以接觸...,可以多嘗試挑戰不同設...
工程師,鴻海精密工業股份有限公司,2020.03.10,全職,新北,,,,,,,平常心,常常加班,10 hr,2,0,以福利來說算是平均以...,如果願意以公司為優先...
人資,鴻海精密工業股份有限公司,2020.03.08,全職,新北,,,,,,,平常心,常常加班,10 hr,5,0,須配合隨時出差，公司...,想賺錢願意出差沒有家...
PM,鴻海精密工業股份有限公司,2020.03.06,全職,新北,,,,,,,平常心,常常加班,10 hr,2,0,"PM要做很多雜事
這...",一定要注意是哪個事業...
產品設計師,鴻海精密工業股份有限公司,2020.03.04,全職,新北,,,,,,,有苦說不出,偶爾加班,9 hr,2,0,主要工作在中國派駐，...,相較於外面公司，公司...
工程師,鴻海精密工業股份有限公司,2020.03.04,全職,新北,,,,,,,想換工作了,賣肝拼經濟,10 hr,3,0,工作經驗是擔任iPh...,想存錢的可以去，但現...
資深專理,鴻海精密工業股份有限公司,2020.03.03,全職,新北,,,,,,,平常心,很少加班,9 hr,11,0,合作的客戶都是業界翹...,不同單位主管帶領的風...
資訊部門暑期實習生,鴻海精密工業股份有限公司,2020.03.02,全職,新北,,,,,,,還算愉快,準時上下班,8 hr,1,0,感謝公司提供這個機會...,公司對於實習生都有請...
工程師,鴻海精密工業股份有限公司,2020.02.29,全職,新北,,,,,,,還算愉快,常常加班,11 hr,5,0,忙碌程度會根據專案時...,建議要先做好忙的時候...
主任工程師,鴻海精密工業股份有限公司,2020.02.27,全職,新竹,,,,,,,有苦說不出,很少加班,9 hr,13,0,不賺錢事業群，組織很...,要去就要選擇賺錢的事...
產業顧問,鴻海精密工業股份有限公司,2020.02.25,全職,新北,,,,,,,有苦說不出,常常加班,13 hr,2,0,工作時間很長，問題很...,薪資還可以，但工時很...
資深工程師,鴻海精密工業股份有限公司,2020.02.24,全職,新北,,,,,,,想換工作了,賣肝拼經濟,12 hr,2,0,每天加班加到懷疑人生...,真的很缺錢又想當台奴...
